iso3,country,year,precip_CV,CDD,precip_anomaly,hot_days_count,R95p,PRECTOTCORR_annual_mean,DTR_mean,temp_trend_slope,ALLSKY_SFC_SW_DWN_annual_mean,PRECTOTCORR_annual_total,Rx5day,RH2M_annual_mean,TNn,T2M_annual_mean,T2M_MAX_annual_mean,TXx,T2M_MIN_annual_mean,HWDI,WS2M_annual_mean,WSDI,total_reserves_usd,gdp_growth_pct,population_total,gdp_per_capita_usd,poverty_headcount_190,employment_agriculture_pct,gdp_yoy_change,total_idps_conflict,agricultural_land_pct,gini_index,life_expectancy,co2_emissions_per_capita,econ_vulnerability,hd_proxy,health_expenditure_pct_gdp,co2_emissions_kt,population_density,arable_land_per_capita,education_expenditure_pct_gdp,pop_pressure,population_growth_pct,agriculture_value_added_pct_gdp,new_displacement_disasters,access_electricity_pct,access_basic_water_pct,urban_population_pct,literacy_rate,infrastructure_index,new_displacement_conflict,freshwater_withdrawal_pct_norm,freshwater_withdrawal_pct,cereal_yield_kg_ha_norm,food_production_index,cereal_yield_kg_ha,food_production_index_norm,child_mortality_rate,land_below_5m_pct,child_mortality_rate_norm,composite_vulnerability,count_glacial_lake_outburst_flood,count_extreme_temperature,disaster_severity_index,count_mass_movement_(wet),disaster_count,count_drought,count_flood,total_damage_usd_millions,total_affected,count_storm,total_deaths,count_wildfire,new_displacement,total_displaced,log_displacement,displacement_rate_per_100k,displacement_yoy_change,new_displacement_rounded,battle_deaths,homicide_rate,oda_received_usd,military_expenditure_pct_gdp,drought_stress,CESI,CESI_category,CESI_lag1,CESI_lag2,CESI_lag3,new_displacement_disasters_lag1,new_displacement_disasters_lag2,new_displacement_disasters_lag3,gdp_per_capita_usd_lag1,gdp_per_capita_usd_lag2,gdp_per_capita_usd_lag3,T2M_annual_mean_lag1,T2M_annual_mean_lag2,T2M_annual_mean_lag3,PRECTOTCORR_annual_total_lag1,PRECTOTCORR_annual_total_lag2,PRECTOTCORR_annual_total_lag3,CESI_roll3_mean,CESI_roll3_std,T2M_annual_mean_roll3_mean,T2M_annual_mean_roll3_std,PRECTOTCORR_annual_total_roll3_mean,PRECTOTCORR_annual_total_roll3_std,new_displacement_disasters_roll3_mean,new_displacement_disasters_roll3_std,CESI_yoy_change,T2M_annual_mean_yoy_change,gdp_per_capita_usd_yoy_change,new_displacement_disasters_yoy_change,climate_economic_stress,climate_agriculture_risk,climate_density_pressure,infra_climate_vulnerability,region,CESI_regional_deviation,new_displacement_disasters_regional_deviation,gdp_per_capita_usd_regional_deviation,CESI_regional_rank
AFG,Afghanistan,2008,0.7158586555664851,42,-0.1401964345950132,37,173.35,0.7702185792349726,14.41188524590164,0.0284909906740151,20.84532786885246,281.9,39.0,45.11784153005464,-29.53,4.372267759562841,12.048169398907104,27.55,-2.3637158469945363,8,2.187677595628416,6,3042274496.10726,3.92498381999467,26482622.0,381.73323802844,,58.0652913892583,,,58.132867240084,,59.708,,0.5515096901630605,0.6890740410794514,10.25649548,,40.6031951918802,0.294306205782796,,0.8878076140877469,2.18654618162979,24.8922700059742,3400.0,42.4,44.6537922388598,21.1241481349633,,0.435268961194299,,,,,,,,,,,,0.0,1.0,6.779889908515919,0.0,3.0,1.0,1.0,0.0,451864.0,0.0,1317.0,0.0,,,,,,,,,,,0.1401964345950132,0.33113280423769204,Moderate,,,,,,,,,,,,,,,,0.33113280423769204,,4.372267759562841,,281.9,,3400.0,,,,,,0.31451310395342125,0.19227322766603813,0.17180679238642915,0.18700097251979664,South Asia,-0.10147439088583288,-1261666.6666666667,-533.7268070633511,6.0
AFG,Afghanistan,2009,0.705639626296014,30,-0.0460479773008545,37,251.92,1.2803013698630137,13.3512602739726,0.0238977896121394,20.10690410958904,467.31,46.970000000000006,55.73936986301369,-23.77,3.044767123287671,10.098109589041098,27.07,-3.2531506849315064,14,2.166794520547945,6,4265888740.23846,21.3905283926492,27466101.0,452.053705477043,,54.884261967606,0.1842136351861611,,58.132867240084,,60.248,,0.5162214997819682,0.6975876552049871,9.81848717,,42.1110666482682,0.283731571510641,,1.5355298944733875,3.64638090813246,29.2975010547259,28000.0,48.3,46.8885842088645,21.6885475109053,,0.4759429210443225,,,,,,,,,,,,0.0,0.0,5.979279043753688,1.0,4.0,0.0,3.0,20.0,62548.0,0.0,79.0,0.0,0.0,297000.0,0.0,,,,,,,,0.0460479773008545,0.3460355327357448,Moderate,0.33113280423769204,,,3400.0,,,381.73323802844,,,4.372267759562841,,,281.9,,,0.3385841684867184,0.010537820379155106,3.708517441425256,0.9386847019396293,374.605,131.10466829979777,15700.0,17394.82681718907,0.04500529185672386,-0.303618330183854,0.18421363518616118,7.235294117647058,0.32546849548989254,0.18991904828768716,0.18125354064406254,0.18134237050036614,South Asia,-0.08645296124957724,-1161833.3333333333,-496.2364855213445,6.0
AFG,Afghanistan,2010,0.7110609518335337,50,-0.0023416629242224,37,280.98,1.5170958904109588,13.2238904109589,0.0154703558287659,20.344164383561644,553.74,49.1,51.34479452054794,-32.58,4.614219178082192,11.631534246575344,25.56,-1.592356164383561,7,2.0674246575342465,6,5162440806.75156,14.3624414710737,28284089.0,560.621505463146,,51.8564248031154,0.2401657118849045,,58.134400441562,,60.702,,0.4803404947654282,0.7075229751699814,8.56967163,,43.3652070588596,0.275525932618866,3.4794499874115,1.2726329647360877,2.93468670173474,26.2100685374552,71000.0,42.7,49.1337948047642,22.2614799010924,,0.459168974023821,102000.0,,,,,,,,,,,0.0,0.0,5.546775642279635,2.0,4.0,0.0,2.0,0.0,45130.0,0.0,339.0,0.0,102000.0,352000.0,0.0,,,102000.0,,,,,0.0023416629242224,0.3202488080754061,Moderate,0.3460355327357448,0.33113280423769204,,28000.0,3400.0,,452.053705477043,381.73323802844,,3.044767123287671,4.372267759562841,,467.31,281.9,,0.3324723816829476,0.012945448735980821,4.010418020310901,0.8449830551095144,434.31666666666666,138.89084359068934,34133.333333333336,34214.81160745056,-0.07452045301957788,0.5154588154840105,0.24016571188490454,1.5357142857142856,0.29664303218554633,0.16606958234249633,0.169024485625314,0.17320049143907035,South Asia,-0.09738103918605506,-2579400.0,-613.7904431575629,6.0
AFG,Afghanistan,2011,0.5489578545225485,34,0.0481307105332766,37,280.33000000000004,1.790547945205479,13.303150684931508,0.022119405858009,20.10558904109589,653.55,43.38,55.747205479452056,-24.08,3.7559178082191766,10.8013698630137,26.96,-2.501780821917808,9,2.119835616438356,5,6344641959.56008,0.426354776777345,29347708.0,606.694676337726,,51.3174929157298,0.0821823109274368,,58.131334038606,,61.25,,0.4722397571638196,0.5854351439503073,8.56190777,,44.9959492816951,0.265472179292502,3.4620099067688,1.661026855372174,3.69150308391849,23.7436639877543,3000.0,43.2,51.3896718184372,22.8205691572485,31.4500007629394,0.472948359092186,186000.0,,,,,,,,,,,0.0,0.0,7.575907035128707,0.0,4.0,1.0,2.0,142.0,1762815.0,1.0,83.0,0.0,186000.0,450000.0,0.0,,,186000.0,,,,,-0.0481307105332766,0.3047173358630887,Moderate,0.3202488080754061,0.3460355327357448,0.33113280423769204,71000.0,28000.0,3400.0,560.621505463146,452.053705477043,381.73323802844,4.614219178082192,3.044767123287671,4.372267759562841,553.74,467.31,281.9,0.32366722555807986,0.020870134924486677,3.80496803652968,0.7858749148227536,558.1999999999999,93.20007027894344,34000.0,34394.767043839674,-0.04849814213410086,-0.18601226702450468,0.08218231092743689,-0.9577464788732395,0.2804105043243121,0.15637329724454113,0.16235791561985113,0.16060177187969837,South Asia,-0.10417197798761485,-486500.0,-731.9226805426348,6.0
AFG,Afghanistan,2012,0.5947970975464092,16,0.050586389245362,37,289.03000000000003,1.8038524590163936,13.243442622950822,0.0346209596934619,19.769726775956286,660.21,63.2,60.622349726775965,-31.66,1.856857923497268,8.722978142076501,25.79,-4.520464480874316,12,1.989426229508197,6,7152304397.72645,12.7522870926697,30560034.0,651.417134470046,,48.7641675804324,0.0737149341779035,,58.129800837128,,61.735,,0.4458758572703046,0.7172347175722562,7.89716864,,46.8546892967205,0.254908093361414,2.60420989990234,1.8966134271252213,4.04786256315645,24.390873626371,30000.0,69.1,53.6558094830286,23.3434391310979,,0.613779047415143,100000.0,,,,,,,,,,,0.0,1.0,5.542863101912209,3.0,10.0,0.0,6.0,0.0,51264.0,0.0,305.0,0.0,100400.0,492000.0,0.0,,,100000.0,,,,,-0.050586389245362,0.3104734964963004,Moderate,0.3047173358630887,0.3202488080754061,0.3460355327357448,3000.0,71000.0,28000.0,606.694676337726,560.621505463146,452.053705477043,3.7559178082191766,4.614219178082192,3.044767123287671,653.55,553.74,467.31,0.31181321347826507,0.007851928964548784,3.408998303266212,1.4110368986171637,622.5,59.64094315149633,34666.666666666664,34239.35357645254,0.01889016460749704,-0.5056180623990612,0.07371493417790353,9.0,0.28388188146893695,0.15139981612428385,0.16713660974261893,0.11991136956915241,South Asia,-0.13256768243614336,-1932933.3333333333,-725.376779222179,6.0
AFG,Afghanistan,2013,1.319112738983319,76,-0.0480302606788066,37,255.52,1.2695616438356163,13.253013698630136,0.0258254812782097,20.462794520547945,463.39,68.55,51.36136986301369,-24.22,4.038082191780823,11.058958904109588,28.62,-2.1940547945205484,22,1.979808219178082,8,7288702710.90529,5.60074465863221,31622704.0,637.087099117099,,46.577795862337,-0.0219982475048112,,58.123668031216,,62.188,,0.4267623174589215,0.7181484689654664,8.80596447,,48.4839765113534,0.246183881049514,3.45445990562439,1.6572922186219712,3.41822667584596,22.8106627361766,15000.0,68.0,55.9321352223542,23.8077136743646,,0.619660676111771,124000.0,,,,,,,,,,,0.0,0.0,4.911968488236205,1.0,5.0,0.0,4.0,0.0,18097.0,0.0,137.0,0.0,124000.0,631000.0,0.0,,,124000.0,,,,,0.0480302606788066,0.47369790976556175,Moderate,0.3104734964963004,0.3047173358630887,0.3202488080754061,30000.0,3000.0,71000.0,651.417134470046,606.694676337726,560.621505463146,1.856857923497268,3.7559178082191766,4.614219178082192,660.21,653.55,553.74,0.3629629140416503,0.09594249738666309,3.216952641165756,1.1862956695571194,592.3833333333333,111.76112442765303,16000.0,13527.74925846866,0.5257273651736851,1.1746856023186552,-0.021998247504811275,-0.5,0.4340188581367861,0.22063804541476065,0.2572120189283055,0.18016594272750105,South Asia,0.04799824485417059,-662166.6666666666,-828.9678166005441,3.0
AFG,Afghanistan,2014,0.8331688844534656,30,0.0146139395407604,37,305.74,1.608958904109589,13.212520547945203,0.0296822539688023,20.154767123287677,587.27,67.53,55.19534246575344,-27.44,3.106547945205479,10.029123287671233,27.32,-3.183397260273973,23,1.9815616438356165,12,7528549879.63682,2.72454336219565,32792523.0,625.054941813938,,43.9051695778457,-0.0188862046019071,,58.123668031216,,62.26,,0.4029693423287105,0.7177037485837094,9.52887821,,50.2775447311531,0.23697475183596,3.69521999359131,1.8263412879267,3.63251884652008,22.1370413719574,13000.0,89.5,58.2185747849882,24.1910166387726,,0.738592873924941,156000.0,,,,,,,,,,,0.0,0.0,6.517524360125925,0.0,3.0,0.0,2.0,3.0,142055.0,1.0,575.0,0.0,156193.0,805409.0,0.0,,,156000.0,,,,,-0.0146139395407604,0.44212425509789466,Moderate,0.47369790976556175,0.3104734964963004,0.3047173358630887,15000.0,30000.0,3000.0,637.087099117099,651.417134470046,606.694676337726,4.038082191780823,1.856857923497268,3.7559178082191766,463.39,660.21,653.55,0.4087652204532523,0.0865746566039421,3.00049602016119,1.094472514612168,570.2900000000001,99.50260499102527,19333.333333333332,9291.573243177543,-0.06665356552511126,-0.2306872922179256,-0.018886204601907153,-0.1333333333333333,0.4057893911296256,0.19411540394551777,0.24225863131503256,0.1155744308932169,South Asia,-0.006573570419662722,-817166.6666666666,-930.530608757317,4.0
AFG,Afghanistan,2015,0.4858036503272509,17,0.1210807615800537,37,339.33,2.185780821917808,13.151671232876714,0.0178881035874074,20.013534246575343,797.81,60.6,60.59638356164383,-25.81,3.1976164383561634,9.974410958904109,24.69,-3.177260273972603,7,2.077835616438356,5,6976966153.82054,1.45131466066431,33831764.0,565.569730408751,,43.6487408597973,-0.0951679723266537,,58.123668031216,,62.27,,0.404029623373886,0.5943192360322211,10.10534763,,51.8709105683578,0.229518035181376,3.25578999519348,1.618351267911636,3.11995924146907,20.6343227166798,71000.0,71.5,60.5153476686209,24.4649118421568,33.75,0.6600767383431045,335000.0,,,,,,,,,,,0.0,0.0,5.891249009008607,4.0,5.0,0.0,1.0,3.0,36717.0,0.0,331.0,0.0,335409.0,1174306.0,0.0,,,335000.0,,,,,-0.1210807615800537,0.2664005399484914,Moderate,0.44212425509789466,0.47369790976556175,0.3104734964963004,13000.0,15000.0,30000.0,625.054941813938,637.087099117099,651.417134470046,3.106547945205479,4.038082191780823,1.856857923497268,587.27,463.39,660.21,0.3940742349373159,0.11168998706841553,3.4474155251141556,0.5135549638982362,616.1566666666666,169.07103162083493,33000.0,32924.155266308655,-0.3974532342960798,0.029315012920124284,-0.09516797232665375,4.461538461538462,0.24659064087945992,0.1162804813312178,0.14710665150939686,0.09055574044644928,South Asia,-0.12740979703426647,-1253666.6666666667,-1049.0442757901644,6.0
AFG,Afghanistan,2016,0.9155327056800804,24,0.1449818029707233,36,392.49,2.315273224043716,12.627377049180328,0.0232598860272993,20.606448087431698,847.3900000000001,87.41,56.542950819672136,-25.75,4.218360655737705,10.886967213114756,23.74,-1.7404098360655742,11,1.9936612021857925,8,7281910524.1067,2.26031420279821,34700612.0,522.082215583898,,43.4117237317358,-0.0768915175029318,,58.123668031216,,62.646,,0.4043178774877717,0.7123656691687535,11.81859016,,53.2030296061205,0.222733823829966,4.5439600944519,1.349079818882528,2.53571991833963,25.7403140364582,7400.0,97.7,62.8220704134542,24.6588345720126,,0.8026103520672709,653000.0,,,,,,,,,,,0.0,0.0,1.7770605025961268,0.0,4.0,0.0,4.0,0.0,0.0,0.0,84.0,0.0,652594.0,1200000.0,0.0,,,653000.0,,,,,-0.1449818029707233,0.29745475463635956,Moderate,0.2664005399484914,0.44212425509789466,0.47369790976556175,71000.0,13000.0,15000.0,565.569730408751,625.054941813938,637.087099117099,3.1976164383561634,3.106547945205479,4.038082191780823,797.81,587.27,463.39,0.33532651656091517,0.09378384071858979,3.507508346433116,0.6172978388459937,744.1566666666668,138.11087478302883,30466.666666666668,35214.39099762103,0.11656963868719084,0.31922034335871974,-0.07689151750293188,-0.895774647887324,0.277036396403903,0.12913023630964898,0.16528490835691292,0.05871448929358732,South Asia,-0.12639257102938062,-586833.3333333334,-1199.5869367272412,6.0
AFG,Afghanistan,2017,1.9109071695826625,117,-0.1701733033090475,37,169.42000000000002,0.6078082191780823,14.30041095890411,0.0294360043729008,20.87879452054794,221.85,46.38,46.36287671232876,-22.1,4.515835616438356,11.988712328767123,29.08,-2.3116986301369864,12,2.17227397260274,5,8097280955.90196,2.6470032027451,35688935.0,525.469770891619,,43.0029679081655,0.0064885476015157,,58.123668031216,,62.406,,0.400319369890788,0.7116794949758044,12.62081718,,54.7183278904681,0.215725126008944,4.34319019317627,1.5366752164917106,2.80833730805469,26.4201990834448,27000.0,97.7,65.142136058033,24.8352821238871,,0.814210680290165,474000.0,,,,,,,,,,,0.0,0.0,4.968176933231101,2.0,5.0,0.0,1.0,0.0,11240.0,2.0,226.0,0.0,473892.0,1286483.0,0.0,,,474000.0,,,,,0.1701733033090475,0.448064992061148,Moderate,0.29745475463635956,0.2664005399484914,0.44212425509789466,7400.0,71000.0,13000.0,522.082215583898,565.569730408751,625.054941813938,4.218360655737705,3.1976164383561634,3.106547945205479,847.3900000000001,797.81,587.27,0.337306762215333,0.09716805118661094,3.977270903510741,0.6913889295017438,622.35,347.727956310677,35133.333333333336,32570.743518276235,0.5063299042199225,0.07051909141434698,0.006488547601515737,2.6486486486486487,0.4171086416060615,0.1926812447437798,0.25069291802751426,0.08324569006083332,South Asia,0.021946651876150802,-446300.0,-1347.7074461847592,2.0
